Data calculated via Fourier domain filtering

Frequency:	6.2831853

Number of harmonics used:	39

Number of cycles in input:	3

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

0.2569576	-6.2781314	-3.1444062	-0.0160920	-0.4482904	0.8937431	-0.9992015	-0.0254836	-0.0307730
0.2055867	-6.2800235	-1.4463474	-0.0235824	-0.2251045	0.9740492	-0.9992133	-0.0257678	-0.0301466
0.1542021	-6.2814953	0.2204274	-0.0328225	0.0342463	0.9988743	-0.9991602	-0.0256493	-0.0319525
0.1028071	-6.2825466	1.7303572	-0.0425515	0.2646477	0.9634059	-0.9989697	-0.0264948	-0.0368441
0.0514053	-6.2831774	2.9788028	-0.0555871	0.4273534	0.9023742	-0.9984265	-0.0304829	-0.0470676
0.0000000	-6.2833877	3.8947291	-0.0818526	0.5250769	0.8471094	-0.9966444	-0.0431236	-0.0695716
-0.0514053	-6.2831774	4.4501254	-0.1598302	0.5714180	0.8049446	-0.9871219	-0.0870022	-0.1342419
-0.1028071	-6.2825466	4.6650000	-0.7034227	0.4311152	0.5650984	-0.7106504	-0.4118901	-0.5703706
-0.1542021	-6.2814953	4.6071951	-0.3824523	-0.5403414	-0.7495074	0.9237633	-0.2409821	-0.2976392
-0.2055867	-6.2800235	4.3867722	-0.2555158	-0.5480073	-0.7964921	0.9664326	-0.1676371	-0.1946943
-0.2569576	-6.2781314	4.1452842	-0.3157686	-0.5137758	-0.7976995	0.9482220	-0.2011174	-0.2458187
-0.3083112	-6.2758191	4.0407983	-0.9537335	0.1944805	0.2292809	-0.2978073	-0.5064096	-0.8092343
-0.3596443	-6.2730867	4.2300336	-0.1274233	0.5595365	0.8189519	-0.9907113	-0.0322755	-0.1320961
-0.4109532	-6.2699345	4.8493540	-0.0343364	0.6128418	0.7894593	-0.9980682	0.0198967	-0.0588550
-0.4622347	-6.2663626	5.9965760	0.0012627	0.6913339	0.7225344	-0.9985821	0.0393239	-0.0358807
-0.5134852	-6.2623713	7.7155819	0.0228554	0.7754883	0.6309481	-0.9984060	0.0502817	-0.0256343
-0.5647013	-6.2579608	9.9855549	0.0379085	0.8457746	0.5321919	-0.9981342	0.0575579	-0.0203747
-0.6158797	-6.2531315	12.7162874	0.0482049	0.8954021	0.4426414	-0.9978932	0.0624367	-0.0176276
-0.6670168	-6.2478836	15.7504776	0.0543080	0.9273752	0.3701701	-0.9977492	0.0650027	-0.0164685
-0.7181093	-6.2422176	18.8732749	0.0559373	0.9472953	0.3154404	-0.9977814	0.0644609	-0.0166445
-0.7691537	-6.2361337	21.8286162	0.0511799	0.9597932	0.2760030	-0.9981152	0.0585286	-0.0184488
-0.8201467	-6.2296325	24.3411858	0.0335375	0.9679588	0.2488594	-0.9989048	0.0405919	-0.0232682
-0.8710847	-6.2227142	26.1421956	-0.0247421	0.9727074	0.2307124	-0.9991687	-0.0165823	-0.0372405
-0.9219645	-6.2153795	26.9966964	-0.4596323	0.8687721	0.1843182	-0.8874862	-0.4415361	-0.1319623
-0.9727825	-6.2076288	26.7298387	-0.3939227	-0.8920545	-0.2215032	0.9184606	-0.3913175	-0.0574523
-1.0235354	-6.1994626	25.2494480	-0.2570652	-0.9360545	-0.2402488	0.9655931	-0.2589078	-0.0244271
-1.0742198	-6.1908814	22.5624816	-0.2222022	-0.9374967	-0.2678174	0.9739212	-0.2263402	-0.0157358
-1.1248323	-6.1818859	18.7833780	-0.2070432	-0.9255473	-0.3170099	0.9766821	-0.2143518	-0.0120583
-1.1753696	-6.1724766	14.1329694	-0.1957871	-0.8925998	-0.4061194	0.9776975	-0.2097651	-0.0103031
-1.2258281	-6.1626542	8.9274495	-0.1758624	-0.7986824	-0.5754814	0.9779899	-0.2084318	-0.0095935
-1.2762046	-6.1524193	3.5577942	-0.1109652	-0.4801597	-0.8701341	0.9779821	-0.2084639	-0.0096836
-1.3264957	-6.1417726	-1.5390479	0.0394675	0.2348532	-0.9712293	0.9779554	-0.2085403	-0.0106863
-1.3766980	-6.1307148	-5.9150473	0.1323646	0.6726721	-0.7280054	0.9782784	-0.2068695	-0.0132773
